Numéro de machine,TYPE,ETAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
TS1700-402197-MA01,KSK,N.V,,,,,,,,,,,,,,,M 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS1500.2018.401098-213,KSM,V,,,,,,,,,,,,,,,S 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS1500-400053-037,KSK,N.V,,,,,,,,,,,,,,,T 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS1500.401098-MA-01,KSM,V,,,,,,,,,,,,,,,M 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
